Trial #, Mouse X, Mouse Y, Target X, Target Y, Target Width, Time Taken (ms), Hit/Miss (1/0)
0,380,380,400,400,40,1750,1
1,470,380,490,400,40,404,1
2,380,470,400,490,40,442,1
3,200,200,220,220,40,716,1
4,470,200,490,220,40,834,1
5,290,200,310,220,40,717,1
6,200,470,220,490,40,598,1
7,380,380,400,400,40,574,1
8,200,290,220,310,40,701,1
9,290,200,310,220,40,586,1
10,470,470,490,490,40,657,1
11,380,290,400,310,40,620,1
12,470,470,490,490,40,728,1
13,470,200,490,220,40,658,1
14,470,380,490,400,40,625,1
15,200,290,220,310,40,801,1
16,290,290,310,310,40,566,1
17,290,470,310,490,40,534,1
18,470,380,490,400,40,608,1
19,470,290,490,310,40,824,1
20,380,380,400,400,40,476,1
21,200,290,220,310,40,836,1
22,200,200,220,220,40,527,1
23,200,380,220,400,40,542,1
24,200,290,220,310,40,717,1
25,470,290,490,310,40,768,1
26,200,380,220,400,40,524,1
27,470,200,490,220,40,550,1
28,290,380,310,400,40,593,1
29,380,470,400,490,40,549,1
30,470,290,490,310,40,517,1
31,290,380,310,400,40,719,1
32,290,200,310,220,40,559,1
33,380,290,400,310,40,759,1
34,380,290,400,310,40,765,1
35,200,380,220,400,40,759,1
36,200,290,220,310,40,658,1
37,380,290,400,310,40,867,1
38,200,380,220,400,40,802,1
39,380,470,400,490,40,865,1
40,200,380,220,400,40,683,1
41,470,290,490,310,40,808,1
42,200,380,220,400,40,1068,1
43,200,470,220,490,40,1324,1
44,290,380,310,400,40,792,1
45,290,200,310,220,40,877,1
46,470,200,490,220,40,715,1
47,290,470,310,490,40,1000,1
48,290,290,310,310,40,733,1
49,290,380,310,400,40,667,1
50,470,380,490,400,40,676,1
51,380,200,400,220,40,824,1
52,380,200,400,220,40,1652,1
53,470,470,490,490,40,900,1
54,200,200,220,220,40,824,1
55,290,290,310,310,40,724,1
56,290,290,310,310,40,542,1
57,290,380,310,400,40,635,1
58,200,380,220,400,40,549,1
59,470,380,490,400,40,661,1
60,380,380,400,400,40,590,1
61,200,380,220,400,40,651,1
62,380,290,400,310,40,600,1
63,470,290,490,310,40,549,1
64,470,290,490,310,40,1014,1
65,470,200,490,220,40,407,1
66,290,470,310,490,40,501,1
67,380,200,400,220,40,676,1
68,290,470,310,490,40,891,1
69,470,200,490,220,40,625,1
70,290,380,310,400,40,533,1
71,200,200,220,220,40,668,1
72,470,470,490,490,40,640,1
73,380,200,400,220,40,1018,1
74,380,290,400,310,40,533,1
75,380,380,400,400,40,875,1
76,380,470,400,490,40,508,1
77,470,380,490,400,40,467,1
78,290,470,310,490,40,493,1
79,380,380,400,400,40,507,1
80,470,470,490,490,40,1126,1
81,470,470,490,490,40,1016,1
82,380,470,400,490,40,425,1
83,200,290,220,310,40,567,1
84,470,470,490,490,40,509,1
85,290,200,310,220,40,766,1
86,200,470,220,490,40,733,1
87,470,380,490,400,40,535,1
88,470,200,490,220,40,716,1
89,290,200,310,220,40,616,1
90,470,380,490,400,40,691,1
91,200,470,220,490,40,885,1
92,380,290,400,310,40,742,1
93,200,470,220,490,40,650,1
94,200,380,220,400,40,750,1
95,380,380,400,400,40,942,1
96,470,470,490,490,40,724,1
97,290,470,310,490,40,642,1
98,470,200,490,220,40,650,1
99,380,200,400,220,40,534,1
100,200,200,220,220,40,900,1
101,290,470,310,490,40,959,1
102,200,470,220,490,40,624,1
103,380,290,400,310,40,758,1
104,290,290,310,310,40,626,1
105,200,470,220,490,40,1125,1
106,200,470,220,490,40,210,1
107,470,380,490,400,40,592,1
108,200,200,220,220,40,650,1
109,380,200,400,220,40,2265,1
110,200,380,220,400,40,816,1
111,470,290,490,310,40,660,1
112,380,470,400,490,40,816,1
113,470,380,490,400,40,525,1
114,290,200,310,220,40,808,1
115,200,200,220,220,40,558,1
116,380,200,400,220,40,768,1
117,200,200,220,220,40,583,1
118,290,200,310,220,40,517,1
119,200,470,220,490,40,874,1
120,290,200,310,220,40,1286,1
121,200,200,220,220,40,606,1
122,380,380,400,400,40,834,1
123,380,470,400,490,40,626,1
124,470,290,490,310,40,599,1
125,290,290,310,310,40,568,1
126,200,290,220,310,40,559,1
127,470,470,490,490,40,707,1
128,380,470,400,490,40,601,1
129,200,290,220,310,40,1140,1
130,200,290,220,310,40,168,1
131,290,380,310,400,40,850,1
132,290,290,310,310,40,1766,1
133,290,380,310,400,40,576,1
134,290,470,310,490,40,490,1
135,380,290,400,310,40,759,1
136,290,290,310,310,40,534,1
137,290,470,310,490,40,792,1
138,200,200,220,220,40,651,1
139,290,470,310,490,40,740,1
140,380,380,400,400,40,559,1
141,380,200,400,220,40,601,1
142,380,290,400,310,40,616,1
143,380,200,400,220,40,641,1
144,290,380,310,400,40,1120,1
145,470,290,490,310,40,1907,1
146,290,380,310,400,40,1201,1
147,380,200,400,220,40,935,1
148,470,470,490,490,40,758,1
149,470,200,490,220,40,984,1
150,470,290,490,310,40,641,1
151,380,380,400,400,40,667,1
152,380,470,400,490,40,2000,1
153,290,290,310,310,40,1067,1
154,470,200,490,220,40,3960,1
155,200,290,220,310,40,592,1
156,200,470,220,490,40,542,1
157,380,470,400,490,40,816,1
158,290,290,310,310,40,709,1
159,290,200,310,220,40,725,1
