Trial #, Mouse X, Mouse Y, Target X, Target Y, Target Width, Time Taken (ms), Hit/Miss (1/0)
0,3,470,290,490,310,40,14857,1
1,3,200,200,220,220,40,1066,1
2,3,200,290,220,310,40,682,1
3,3,200,470,220,490,40,545,1
4,3,470,290,490,310,40,711,1
5,3,200,470,220,490,40,720,1
6,3,380,200,400,220,40,640,1
7,3,290,380,310,400,40,626,1
8,3,290,200,310,220,40,568,1
9,3,380,290,490,490,40,1634,0
10,3,380,290,400,310,40,3482,1
11,3,290,470,310,490,40,916,1
12,3,290,290,310,310,40,936,1
13,3,200,200,220,220,40,979,1
14,3,200,290,220,310,40,621,1
15,3,470,380,490,400,40,804,1
16,3,290,200,310,220,40,880,1
17,3,470,470,490,490,40,1192,1
18,3,290,470,310,490,40,733,1
19,3,290,290,310,310,40,710,1
20,3,380,470,400,490,40,775,1
21,3,290,290,310,310,40,851,1
22,3,200,200,220,220,40,766,1
23,3,380,290,400,310,40,649,1
24,3,470,200,490,220,40,550,1
25,3,380,200,400,220,40,518,1
26,3,470,470,490,490,40,5726,1
27,3,380,470,400,490,40,683,1
28,3,380,200,400,220,40,1024,1
29,3,470,290,490,310,40,568,1
30,3,470,380,490,400,40,693,1
31,3,470,290,490,310,40,955,1
32,3,200,380,220,400,40,1000,1
33,3,290,290,310,310,40,736,1
34,3,200,290,220,310,40,583,1
35,3,290,470,310,490,40,860,1
36,3,200,200,220,220,40,768,1
37,3,470,470,490,490,40,908,1
38,3,290,290,310,310,40,844,1
39,3,470,200,490,220,40,893,1
40,3,380,200,400,220,40,583,1
41,3,470,380,490,400,40,1872,1
42,3,200,290,220,310,40,1145,1
43,3,470,470,490,490,40,990,1
44,3,380,470,400,490,40,751,1
45,3,290,200,310,220,40,871,1
46,3,290,470,310,490,40,1242,1
47,3,470,200,490,220,40,792,1
48,3,380,200,400,220,40,1025,1
49,3,200,380,220,400,40,858,1
50,3,470,380,490,400,40,816,1
51,3,290,470,310,490,40,911,1
52,3,290,470,310,490,40,888,1
53,3,290,380,310,400,40,742,1
54,3,290,380,310,400,40,1291,1
55,3,380,470,400,490,40,767,1
56,3,380,290,400,310,40,524,1
57,3,470,200,490,220,40,3460,1
58,3,290,200,310,220,40,1949,1
59,3,470,380,490,400,40,700,1
60,3,200,470,220,490,40,925,1
61,3,200,290,220,310,40,758,1
62,3,200,470,220,490,40,668,1
63,3,380,290,400,310,40,649,1
64,3,200,380,220,400,40,821,1
65,3,380,380,400,400,40,736,1
66,3,380,290,400,310,40,1701,1
67,3,380,470,400,490,40,558,1
68,3,290,290,310,310,40,626,1
69,3,200,380,220,400,40,767,1
70,3,380,200,400,220,40,670,1
71,3,200,380,220,400,40,844,1
72,3,200,470,220,490,40,499,1
73,3,380,380,400,400,40,582,1
74,3,380,290,400,310,40,707,1
75,3,200,290,220,310,40,684,1
76,3,200,470,220,490,40,499,1
77,3,380,200,400,220,40,743,1
78,3,290,380,310,400,40,2496,1
79,3,380,200,400,220,40,744,1
80,3,200,200,220,220,40,661,1
81,3,290,470,310,490,40,713,1
82,3,200,200,220,220,40,992,1
83,3,290,290,310,310,40,584,1
84,3,290,290,310,310,40,1324,1
85,3,470,290,490,310,40,1019,1
86,3,380,380,400,400,40,558,1
87,3,290,470,310,490,40,612,1
88,3,200,470,220,490,40,1974,1
89,3,470,290,490,310,40,793,1
90,3,380,290,400,310,40,800,1
91,3,200,200,220,220,40,666,1
92,3,380,380,400,400,40,1243,1
93,3,290,200,310,220,40,659,1
94,3,380,470,400,490,40,1454,1
95,3,200,470,220,490,40,674,1
96,3,200,470,220,490,40,1453,1
97,3,380,470,400,490,40,767,1
98,3,470,200,490,220,40,887,1
99,3,380,290,400,310,40,2169,1
100,3,470,470,490,490,40,659,1
101,3,290,200,310,220,40,700,1
102,3,380,380,400,400,40,791,1
103,3,470,290,490,310,40,549,1
104,3,200,290,220,310,40,677,1
105,3,380,470,400,490,40,757,1
106,3,290,470,310,490,40,599,1
107,3,470,200,490,220,40,793,1
108,3,200,380,220,400,40,724,1
109,3,380,200,400,220,40,693,1
110,3,290,380,310,400,40,657,1
111,3,470,380,490,400,40,601,1
112,3,470,200,490,220,40,650,1
113,3,290,200,310,220,40,584,1
114,3,200,200,220,220,40,510,1
115,3,470,380,490,400,40,615,1
116,3,290,380,310,400,40,557,1
117,3,470,470,490,490,40,561,1
118,3,200,290,220,310,40,700,1
119,3,470,200,400,400,40,1242,1
120,3,470,200,490,220,40,1359,1
121,3,200,380,220,400,40,1025,1
122,3,470,200,490,220,40,1816,1
123,3,200,290,220,310,40,876,1
124,3,290,380,310,400,40,716,1
125,3,470,470,490,490,40,1185,1
126,3,200,380,220,400,40,809,1
127,3,290,380,310,400,40,1075,1
128,3,380,470,400,490,40,717,1
129,3,380,380,400,400,40,608,1
130,3,380,380,400,400,40,1858,1
131,3,290,200,310,220,40,785,1
132,3,200,200,220,220,40,775,1
133,3,470,380,490,400,40,1052,1
134,3,470,470,490,490,40,589,1
135,3,290,290,310,310,40,625,1
136,3,470,290,490,310,40,518,1
137,3,200,380,220,400,40,708,1
138,3,470,290,490,310,40,645,1
139,3,470,380,490,400,40,619,1
140,3,380,290,400,310,40,758,1
141,3,290,380,310,400,40,593,1
142,3,200,290,220,310,40,634,1
143,3,200,200,220,220,40,647,1
144,3,380,290,400,310,40,699,1
145,3,470,200,490,220,40,686,1
146,3,380,200,400,220,40,549,1
147,3,290,470,310,490,40,808,1
148,3,200,380,220,400,40,593,1
149,3,470,470,490,490,40,581,1
150,3,290,200,310,220,40,665,1
151,3,380,380,400,400,40,633,1
152,3,380,470,400,490,40,608,1
153,3,290,200,310,220,40,625,1
154,3,290,290,310,310,40,527,1
155,3,470,290,490,310,40,507,1
156,3,470,380,490,400,40,517,1
157,3,200,470,220,490,40,1927,1
158,3,290,380,310,400,40,667,1
159,3,380,380,400,400,40,517,1
