Trial #, Mouse X, Mouse Y, Target X, Target Y, Target Width, Time Taken (ms), Hit/Miss (1/0)
0,2,290,200,310,220,40,3495,1
1,2,380,200,400,220,40,786,1
2,2,290,470,310,490,40,1235,1
3,2,290,470,310,490,40,1699,1
4,2,290,380,310,400,40,693,1
5,2,470,470,490,490,40,831,1
6,2,290,380,310,400,40,1042,1
7,2,290,380,310,310,40,721,1
8,2,290,290,310,310,40,1128,1
9,2,380,470,400,490,40,953,1
10,2,470,200,490,220,40,972,1
11,2,290,380,310,400,40,1037,1
12,2,380,470,400,490,40,1773,1
13,2,380,200,400,220,40,805,1
14,2,290,290,310,310,40,866,1
15,2,290,200,310,220,40,797,1
16,2,380,200,400,220,40,714,1
17,2,470,290,490,310,40,714,1
18,2,380,290,400,310,40,639,1
19,2,380,470,400,490,40,1538,1
20,2,290,200,310,220,40,960,1
21,2,290,380,310,400,40,1327,1
22,2,290,470,310,490,40,823,1
23,2,470,200,490,220,40,864,1
24,2,200,200,220,220,40,839,1
25,2,200,380,220,400,40,775,1
26,2,290,470,310,490,40,740,1
27,2,380,290,400,310,40,753,1
28,2,380,470,400,490,40,765,1
29,2,470,470,490,490,40,618,1
30,2,200,470,220,490,40,779,1
31,2,380,200,400,220,40,809,1
32,2,470,290,490,310,40,735,1
33,2,470,290,310,220,40,259,1
34,2,290,200,220,310,40,651,1
35,2,290,200,220,310,40,671,1
36,2,200,290,220,310,40,745,1
37,2,380,290,400,310,40,1502,1
38,2,380,200,400,220,40,672,1
39,2,470,290,490,310,40,635,1
40,2,200,290,220,310,40,702,1
41,2,470,380,490,400,40,758,1
42,2,470,380,490,400,40,1473,1
43,2,470,200,490,220,40,712,1
44,2,470,380,490,400,40,673,1
45,2,200,200,220,220,40,848,1
46,2,380,290,400,310,40,540,1
47,2,380,470,400,490,40,682,1
48,2,470,470,490,490,40,517,1
49,2,200,290,220,310,40,646,1
50,2,290,290,310,310,40,498,1
51,2,200,380,220,400,40,596,1
52,2,470,380,490,400,40,521,1
53,2,380,380,400,400,40,540,1
54,2,380,200,400,220,40,892,1
55,2,290,290,310,310,40,646,1
56,2,380,380,400,400,40,1607,1
57,2,380,380,400,400,40,331,1
58,2,470,290,490,310,40,1296,1
59,2,380,290,400,310,40,711,1
60,2,470,200,490,220,40,734,1
61,2,470,290,490,310,40,1261,1
62,2,470,290,490,310,40,1263,1
63,2,290,380,310,400,40,938,1
64,2,470,200,490,220,40,1007,1
65,2,200,470,220,490,40,790,1
66,2,470,380,490,400,40,837,1
67,2,200,200,220,220,40,777,1
68,2,200,200,220,490,40,2194,1
69,2,200,470,220,490,40,921,1
70,2,290,290,310,310,40,982,1
71,2,380,380,400,400,40,836,1
72,2,200,380,220,400,40,672,1
73,2,290,470,310,490,40,589,1
74,2,200,470,220,490,40,529,1
75,2,470,380,490,400,40,1322,1
76,2,200,200,220,220,40,919,1
77,2,200,380,220,400,40,725,1
78,2,290,380,310,400,40,600,1
79,2,380,470,400,490,40,811,1
80,2,200,380,220,400,40,707,1
81,2,290,290,310,310,40,672,1
