Trial #, Mouse X, Mouse Y, Target X, Target Y, Target Width, Time Taken (ms), Hit/Miss (1/0)
0,4,470,290,490,310,40,2742,1
1,4,380,470,400,490,40,1110,1
2,4,290,470,310,490,40,617,1
3,4,470,380,490,400,40,676,1
4,4,200,290,220,310,40,586,1
5,4,290,380,310,400,40,677,1
6,4,290,290,310,310,40,524,1
7,4,380,470,400,490,40,805,1
8,4,470,470,490,490,40,528,1
9,4,290,470,310,490,40,581,1
10,4,200,290,220,310,40,556,1
11,4,380,200,400,220,40,663,1
12,4,380,380,400,400,40,548,1
13,4,290,470,310,490,40,521,1
14,4,470,380,490,400,40,876,1
15,4,380,380,400,400,40,567,1
16,4,290,380,310,400,40,612,1
17,4,470,470,490,490,40,645,1
18,4,290,200,310,220,40,591,1
19,4,290,290,310,310,40,526,1
20,4,380,470,400,490,40,924,1
21,4,380,290,400,310,40,563,1
22,4,290,200,400,310,40,650,0
23,4,290,200,310,220,40,1210,1
24,4,470,290,490,310,40,551,1
25,4,290,200,310,220,40,610,1
26,4,200,380,220,400,40,772,1
27,4,380,200,400,220,40,676,1
28,4,200,200,220,220,40,616,1
29,4,290,470,310,490,40,838,1
30,4,380,380,400,400,40,617,1
31,4,290,200,310,220,40,554,1
32,4,470,290,490,310,40,771,1
33,4,380,470,400,490,40,572,1
34,4,470,200,490,220,40,760,1
35,4,200,470,220,490,40,646,1
36,4,200,380,220,400,40,514,1
37,4,470,200,490,220,40,832,1
38,4,290,380,310,400,40,574,1
39,4,290,290,310,310,40,582,1
40,4,200,380,220,400,40,708,1
41,4,470,380,490,400,40,791,1
42,4,470,470,490,490,40,761,1
43,4,470,380,490,400,40,716,1
44,4,380,470,400,490,40,690,1
45,4,290,380,310,400,40,635,1
46,4,290,470,310,490,40,525,1
47,4,380,470,400,490,40,585,1
48,4,380,200,400,220,40,814,1
49,4,200,290,220,310,40,976,1
50,4,290,290,310,310,40,675,1
51,4,380,290,400,310,40,669,1
52,4,380,470,400,490,40,574,1
53,4,200,200,220,220,40,568,1
54,4,290,470,310,490,40,774,1
55,4,470,290,490,310,40,694,1
56,4,470,380,490,400,40,566,1
57,4,200,290,220,310,40,657,1
58,4,470,470,490,490,40,767,1
59,4,380,470,400,490,40,567,1
60,4,290,290,310,310,40,634,1
61,4,380,200,400,220,40,666,1
62,4,470,200,490,220,40,701,1
63,4,380,290,400,310,40,610,1
64,4,200,470,220,490,40,859,1
65,4,290,290,310,310,40,758,1
66,4,200,380,220,400,40,611,1
67,4,380,290,400,310,40,727,1
68,4,290,290,310,310,40,533,1
69,4,470,200,490,220,40,701,1
70,4,470,200,490,220,40,1291,1
71,4,200,380,220,400,40,627,1
72,4,200,470,220,490,40,672,1
73,4,470,470,490,490,40,760,1
74,4,470,380,490,400,40,636,1
75,4,380,290,400,310,40,600,1
76,4,380,200,400,220,40,600,1
77,4,290,470,310,490,40,692,1
78,4,290,380,310,400,40,634,1
79,4,200,290,220,310,40,567,1
80,4,200,380,220,400,40,644,1
81,4,290,470,310,490,40,622,1
82,4,380,290,400,310,40,583,1
83,4,200,380,220,400,40,608,1
84,4,290,470,310,490,40,616,1
85,4,470,290,490,310,40,710,1
86,4,380,380,400,400,40,623,1
87,4,200,290,220,310,40,584,1
88,4,200,470,220,490,40,634,1
89,4,200,290,220,310,40,675,1
90,4,200,290,220,310,40,1059,1
91,4,200,200,220,220,40,539,1
92,4,380,200,400,220,40,1324,1
93,4,200,200,220,220,40,637,1
94,4,380,290,400,310,40,709,1
95,4,470,200,490,220,40,684,1
96,4,470,380,490,400,40,741,1
97,4,470,290,490,310,40,568,1
98,4,200,470,220,490,40,607,1
99,4,380,200,400,220,40,737,1
100,4,470,470,490,490,40,909,1
101,4,200,200,220,220,40,801,1
102,4,200,200,220,220,40,1511,1
103,4,470,470,490,490,40,693,1
104,4,380,380,400,400,40,594,1
105,4,200,380,220,400,40,640,1
106,4,290,290,310,310,40,593,1
107,4,470,470,490,490,40,632,1
108,4,290,200,310,220,40,616,1
109,4,290,380,310,400,40,683,1
110,4,470,200,490,220,40,724,1
111,4,200,290,220,310,40,684,1
112,4,200,470,220,490,40,658,1
113,4,200,200,220,220,40,575,1
114,4,470,200,490,220,40,652,1
115,4,470,290,490,310,40,583,1
116,4,200,470,220,490,40,710,1
117,4,290,200,310,220,40,609,1
118,4,470,380,490,400,40,693,1
119,4,290,290,310,310,40,609,1
120,4,290,200,310,220,40,650,1
121,4,290,380,310,400,40,626,1
122,4,200,380,220,400,40,582,1
123,4,200,290,220,310,40,628,1
124,4,200,470,220,490,40,714,1
125,4,470,380,490,400,40,867,1
126,4,470,470,490,490,40,929,1
127,4,380,290,400,310,40,642,1
128,4,380,380,400,400,40,634,1
129,4,380,380,400,400,40,825,1
130,4,380,470,400,490,40,593,1
131,4,380,200,400,220,40,617,1
132,4,380,200,400,220,40,1315,1
133,4,470,290,490,310,40,532,1
134,4,200,200,220,220,40,735,1
135,4,380,380,400,400,40,883,1
136,4,200,470,220,490,40,608,1
137,4,290,200,310,220,40,609,1
138,4,470,470,490,490,40,908,1
139,4,200,470,220,490,40,650,1
140,4,290,470,310,490,40,610,1
141,4,290,200,310,220,40,735,1
142,4,200,200,220,220,40,581,1
143,4,200,200,220,220,40,682,1
144,4,290,200,310,220,40,701,1
145,4,470,290,490,310,40,584,1
146,4,200,380,220,400,40,800,1
147,4,380,470,400,490,40,837,1
148,4,380,380,400,400,40,574,1
149,4,290,380,310,400,40,641,1
150,4,470,200,490,220,40,791,1
151,4,470,200,490,220,40,792,1
152,4,380,200,400,220,40,592,1
153,4,290,290,310,310,40,551,1
154,4,470,290,490,310,40,675,1
155,4,380,380,400,400,40,684,1
156,4,380,290,400,310,40,616,1
157,4,290,380,310,400,40,624,1
158,4,290,380,310,400,40,1128,1
159,4,470,380,490,400,40,742,1
